Date,Adj Close,Close,High,Low,Open,Volume,Daily_Return,MA_7,MA_21,Volatility_7,Volume_Change,Target
2022-03-22,3226.83837890625,3700.949951171875,3711.0,3625.0,3640.0,2907611,0.020473157691473176,3641.764229910714,3599.3213820684523,0.01407928745884743,0.2045627883642227,1
2022-03-23,3236.822265625,3712.39990234375,3729.800048828125,3690.0,3708.0,1596195,0.0030937870878933182,3657.942801339286,3595.4404296875,0.013492433905735977,-0.45102869675482726,1
2022-03-24,3269.474609375,3749.85009765625,3758.199951171875,3695.0,3700.0,1879046,0.010087866689377112,3673.207101004464,3596.8904389880954,0.013315984414114091,0.17720328656586437,0
2022-03-25,3232.506591796875,3707.449951171875,3779.5,3672.0,3759.89990234375,1690133,-0.011307157721018313,3689.428536551339,3602.6547270275296,0.012852501565524373,-0.10053665530274403,1
2022-03-28,3232.7236328125,3707.699951171875,3713.0,3661.199951171875,3695.0,1760990,6.743179362977969e-05,3696.828543526786,3609.507103329613,0.011596107470756978,0.04192391959686015,0
2022-03-29,3230.675537109375,3705.35009765625,3722.0,3691.0,3694.75,2689063,-0.0006337766126092159,3701.4857003348216,3623.969017392113,0.011574030362313055,0.52701775705711,1
2022-03-30,3253.518798828125,3731.550048828125,3738.0,3706.199951171875,3738.0,1583455,0.007070843639970015,3716.464285714286,3634.0071149553573,0.009914809342881062,-0.41114990611971536,1
2022-03-31,3260.842529296875,3739.949951171875,3754.64990234375,3720.199951171875,3740.0,2168110,0.002251049090548296,3722.035714285714,3642.8523530505954,0.0068131748891863105,0.369227417261621,1
2022-04-01,3277.234130859375,3758.75,3763.0,3728.050048828125,3748.0,1387014,0.005026818292644286,3728.657156808036,3652.9761672247023,0.006925902810580344,-0.36026585366978614,1
2022-04-04,3287.347900390625,3770.35009765625,3780.0,3737.10009765625,3762.0,1472994,0.003086158338875933,3731.5857282366073,3663.7357003348216,0.005967927650722465,0.06198928056962649,1
